"COUNTRY.Name","INDICATOR.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","TIME_PERIOD","OBS_VALUE"
"Brazil","Loan Accounts, Commercial banks","Number","Annual","2020","538513655"
"Brazil","Loan Accounts, Commercial banks","Number","Annual","2021","601271940"
"Brazil","Loan Accounts, Commercial banks","Number","Annual","2022","640699386"
"Brazil","Loan Accounts, Commercial banks","Number","Annual","2023","645933447"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2016","161785"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2017","155825"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2018","164562"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2019","156249"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2020","156423"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2021","145533"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2022","130094"
"Barbados","Loan Accounts, Commercial banks","Number","Annual","2023","148697"
"Brunei Darussalam","Loan Accounts, Commercial banks","Number","Annual","2016","157448"
"Brunei Darussalam","Loan Accounts, Commercial banks","Number","Annual","2017","176210"
"Brunei Darussalam","Loan Accounts, Commercial banks","Number","Annual","2018","161995"
"Brunei Darussalam","Loan Accounts, Commercial banks","Number","Annual","2019","158390"
"Brunei Darussalam","Loan Accounts, Commercial banks","Number","Annual","2020","195812"
"Brunei Darussalam","Loan Accounts, Commercial banks","Number","Annual","2021","193648"
"Bhutan","Loan Accounts, Commercial banks","Number","Annual","2016","107011"
"Bhutan","Loan Accounts, Commercial banks","Number","Annual","2017","100433"
"Bhutan","Loan Accounts, Commercial banks","Number","Annual","2018","119771"
"Bhutan","Loan Accounts, Commercial banks","Number","Annual","2019","138607"
"Bhutan","Loan Accounts, Commercial banks","Number","Annual","2020","148722"
"Bhutan","Loan Accounts, Commercial banks","Number","Annual","2021","153538"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2016","310198"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2017","322828"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2018","367247"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2019","429703"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2020","372396"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2021","399057"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2022","410849"
"Botswana","Loan Accounts, Commercial banks","Number","Annual","2023","502317"
"Central African Republic","Loan Accounts, Commercial banks","Number","Annual","2016","59582"
"Central African Republic","Loan Accounts, Commercial banks","Number","Annual","2017","47389"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2016","14439568"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2017","14818366"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2018","15527511"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2019","15675499"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2020","14614458"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2021","13767468"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2022","14793393"
"Chile","Loan Accounts, Commercial banks","Number","Annual","2023","14996808"
"China, People's Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","2221501000"
"China, People's Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","5656000000"
"Cameroon","Loan Accounts, Commercial banks","Number","Annual","2016","450489"
"Cameroon","Loan Accounts, Commercial banks","Number","Annual","2017","481135"
"Cameroon","Loan Accounts, Commercial banks","Number","Annual","2018","582095"
"Cameroon","Loan Accounts, Commercial banks","Number","Annual","2019","726888"
"Cameroon","Loan Accounts, Commercial banks","Number","Annual","2020","862523"
"Congo, Democratic Republic of the","Loan Accounts, Commercial banks","Number","Annual","2016","550184"
"Congo, Democratic Republic of the","Loan Accounts, Commercial banks","Number","Annual","2017","549316"
"Congo, Democratic Republic of the","Loan Accounts, Commercial banks","Number","Annual","2018","569240"
"Congo, Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","76291"
"Congo, Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","81143.499995"
"Congo, Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","87812.8711343579"
"Congo, Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","93879.8518045116"
"Congo, Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","85343"
"Congo, Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","98909"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2016","21126820"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2017","21612261"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2018","22389265"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2019","24462995"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2020","23202781"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2021","23957434"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2022","27261656"
"Colombia","Loan Accounts, Commercial banks","Number","Annual","2023","27108592"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2016","6084"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2017","6916"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2018","8017"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2019","9220"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2020","9487"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2021","9382"
"Comoros, Union of the","Loan Accounts, Commercial banks","Number","Annual","2022","12955"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2016","4580029"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2017","5274438"
